first_missing_year,academic_year,all_leavers,degree_granting_leavers,apparent_closures_degree_granting,likely_combinations_degree_granting,other_degree_granting_exits,public_apparent_closures,private_nfp_apparent_closures,private_fp_apparent_closures
2005,2004-05,118,43,9,7,27,1,4,4
2006,2005-06,143,36,7,10,19,0,5,2
2007,2006-07,138,49,22,13,14,1,9,12
2008,2007-08,173,44,25,3,16,0,7,18
2009,2008-09,241,66,9,0,57,0,3,6
2011,2010-11,171,56,11,20,25,1,5,5
2012,2011-12,116,49,8,13,28,0,3,5
2013,2012-13,151,44,21,12,11,1,4,16
2014,2013-14,253,152,47,66,39,1,5,41
2015,2014-15,209,135,69,60,6,0,7,62
2016,2015-16,315,137,106,29,2,1,12,93
2017,2016-17,493,141,91,16,34,0,16,75
2018,2017-18,465,299,232,5,62,0,18,214
2019,2018-19,425,258,224,21,13,2,21,201
2020,2019-20,261,115,56,37,22,1,17,38
2021,2020-21,201,76,32,23,21,2,14,16
2022,2021-22,161,63,44,10,9,0,20,24
2023,2022-23,186,64,22,18,24,1,8,13
