prime_recipient,agency,grant_id,award_id_string,recipient_name,recipient_class,subaward_rows,subaward_amount,award_remaining
Institute for Sustainable Communities,epa,84082901,ASST_NON_84082901_068,EMERALD CITIES COLLABORATIVE INC,non_higher_ed,1,655571,46825794.26
Institute for Sustainable Communities,epa,84082901,ASST_NON_84082901_068,GROUNDWORK USA INC,non_higher_ed,1,952212,46825794.26
Institute for Sustainable Communities,epa,84082901,ASST_NON_84082901_068,RIVER NETWORK,non_higher_ed,1,310816,46825794.26
Institute for Sustainable Communities,epa,84082901,ASST_NON_84082901_068,THE TRUST FOR PUBLIC LAND,non_higher_ed,1,1084163,46825794.26
Institute for Sustainable Communities,epa,84082901,ASST_NON_84082901_068,URBAN SUSTAINABILITY DIRECTORS NETWORK,non_higher_ed,1,203504,46825794.26
Research Triangle Institute,epa,84084101,ASST_NON_84084101_068,BRIDGING THE GAP,non_higher_ed,1,266331,20779398.72
Research Triangle Institute,epa,84084101,ASST_NON_84084101_068,NATIONAL CENTER FOR HEALTHY HOUSING INC,non_higher_ed,1,53283,20779398.72
Research Triangle Institute,epa,84084101,ASST_NON_84084101_068,POSSIBILITY LABS,non_higher_ed,1,310424,20779398.72
Research Triangle Institute,epa,84084101,ASST_NON_84084101_068,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE",higher_ed,1,105756,20779398.72
Institute for Sustainable Communities,epa,84082001,ASST_NON_84082001_068,EMERALD CITIES COLLABORATIVE INC,non_higher_ed,2,297166,9694946.55
Institute for Sustainable Communities,epa,84082001,ASST_NON_84082001_068,GROUNDWORK USA INC,non_higher_ed,2,267378,9694946.55
Institute for Sustainable Communities,epa,84082001,ASST_NON_84082001_068,RIVER NETWORK,non_higher_ed,2,152592,9694946.55
Institute for Sustainable Communities,epa,84082001,ASST_NON_84082001_068,THE TRUST FOR PUBLIC LAND,non_higher_ed,1,619795,9694946.55
Institute for Sustainable Communities,epa,84082001,ASST_NON_84082001_068,URBAN SUSTAINABILITY DIRECTORS NETWORK,non_higher_ed,1,182347,9694946.55
