"organization_name","organization_state","include_in_dataset","notes"
"University of Texas Medical Branch at Galveston","Texas","TRUE",""
"Arizona State University","Arizona","TRUE",""
"University of Virginia","Virginia","TRUE",""
"Texas A&M University","Texas","TRUE",""
"University of Colorado Boulder","Colorado","TRUE",""
"University of Washington","Washington","TRUE",""
"Northwestern University","Illinois","TRUE",""
"Baylor College of Medicine","Texas","TRUE",""
"Peking University","","TRUE",""
"University of Minnesota","Minnesota","TRUE",""
"Icahn School of Medicine at Mount Sinai","New York","TRUE",""
"University of South Carolina","South Carolina","TRUE",""
"The Ohio State University","Ohio","TRUE",""
"University of Wisconsin System","Wisconsin","TRUE",""
"Columbia University","New York","TRUE",""
"Inter American University of Puerto Rico, Inc.","Puerto Rico","TRUE",""
"Tufts University","Massachusetts","TRUE",""
"University of Illinois Urbana-Champaign","Illinois","TRUE",""
"UT Southwestern Medical Center","Texas","TRUE",""
"North Carolina Agricultural & Technical State University","North Carolina","TRUE",""
"Spelman College","Georgia","TRUE",""
"University of Puerto Rico Medical Sciences","Puerto Rico","TRUE",""
"University of Illinois at Chicago","Illinois","TRUE",""
"University of Kansas Center for Research Inc","Kansas","TRUE",""
"North Carolina State University","North Carolina","TRUE",""
"University of Texas Health Sciences Center","Texas","TRUE",""
"Colorado State University","Colorado","TRUE",""
"University of North Carolina Greensboro","North Carolina","TRUE",""
"Indiana University","Indiana","TRUE",""
"University of Hawaii","Hawaii","TRUE",""
"Wake Forest University Health Sciences","North Carolina","TRUE",""
"The Water Research Foundation","Colorado","TRUE",""
"Millersville University","Pennsylvania","TRUE",""
"University of California, San Francisco","California","TRUE",""
"Vanderbilt University Medical Center","Tennessee","TRUE",""
"University of Alabama","Alabama","TRUE",""
"American College of Obstetricians and Gynecologists","District of Columbia","TRUE",""
"University of Puerto Rico Medical Sciences Campus","Puerto Rico","TRUE",""
"Fred Hutchinson Cancer Center","Washington","TRUE",""
"University of Texas at El Paso","Texas","TRUE",""
"University of The Virgin Islands","Virgin Islands","TRUE",""
"University of Central Florida","Florida","TRUE",""
"CUNY Borough of Manhattan Community College","New York","TRUE",""
"Albert Einstein College of Medicine","New York","TRUE",""
"University of Texas at San Antonio","Texas","TRUE",""
"California Polytechnic State University Foundation","California","TRUE",""
"Jarvis Christian College","Texas","TRUE",""
"University of Alaska Anchorage Campus","Alaska","TRUE",""
"Hinds Community College-Utica","Mississippi","TRUE",""
"Louisiana State University","Louisiana","TRUE",""
"Fielding Graduate University","California","TRUE",""
"University of Connecticut Storrs","Connecticut","TRUE",""
"Texas Tech University System","Texas","TRUE",""
"Pennsylvania State University","Pennsylvania","TRUE",""
"Mahidol University","","TRUE",""
"Utah State Higher Education System--University of Utah","Utah","TRUE",""
"Research Foundation of the City University of New York","New York","TRUE",""
"Medical College of Wisconsin","Wisconsin","TRUE",""
"Claremont Graduate University","California","TRUE",""
"University of Puerto Rico","Puerto Rico","TRUE",""
"St. Petersburg College","Florida","TRUE",""
"University of Illinois","Illinois","TRUE",""
"Dona Ana Branch Community College","New Mexico","TRUE",""
"William Marsh Rice University","Texas","TRUE",""
"University of Texas Health Sciences Center Houston","Texas","TRUE",""
"Teachers College, Columbia University","New York","TRUE",""
"Loyola University of Chicago","Illinois","TRUE",""
"University of Texas at Arlington","Texas","TRUE",""
"North Carolina State University Raleigh","North Carolina","TRUE",""
"University of Colorado at Denver-Downtown Campus","Colorado","TRUE",""
"Bank Street College of Education","New York","TRUE",""
"Galveston College","Texas","TRUE",""
"Boston University Medical Campus","Massachusetts","TRUE",""
"University of Colorado","Colorado","TRUE",""
"University of Puerto Rico-Rio Piedras","Puerto Rico","TRUE",""
"Pennsylvania State University University Park","Pennsylvania","TRUE",""
"University of Miami Coral Gables","Florida","TRUE",""
"University of Puerto Rico-Arecibo Campus","Puerto Rico","TRUE",""
"Texas State University - San Marcos","Texas","TRUE",""
"Missouri State University","Missouri","TRUE",""
"University of Maine System","Maine","TRUE",""
"Boston University (Charles River Campus)","Massachusetts","TRUE",""
"Rush University Medical Center","Illinois","TRUE",""
"The Regents of the University of Colorado","Colorado","TRUE",""
"CUNY Kingsborough Community College","New York","TRUE",""
"Housatonic Community College","Connecticut","TRUE",""
"University of Massachusetts","Massachusetts","TRUE",""
"Northern Virginia Community College","Virginia","TRUE",""
"Temple University-of the Commonwealth System of Higher Education","Pennsylvania","TRUE",""
"City Colleges of Chicago Harry S Truman College","Illinois","TRUE",""
"Santa Monica College","California","TRUE",""
"North Dakota State University Fargo","North Dakota","TRUE",""
"University of Mass at Boston","Massachusetts","TRUE",""
"The Leland Stanford Junior University","California","TRUE",""
"Appalachian College Association","Tennessee","TRUE",""
"Tulane University","Louisiana","TRUE",""
"Rutgers, the State University of New Jersey","New Jersey","TRUE",""
"College of William and Mary","Virginia","TRUE",""
"Middlesex Community College","Massachusetts","TRUE",""
"Utah State University","Utah","TRUE",""
"Rio Hondo College","California","TRUE",""
"CUNY College of Staten Island","New York","TRUE",""
"University of Missouri-Saint Louis","Missouri","TRUE",""
"The Texas A&M University System HSC","Texas","TRUE",""
"Kent State University","Ohio","TRUE",""
"Southwestern College","California","TRUE",""
"University of Puerto Rico Mayaguez","Puerto Rico","TRUE",""
"San Jacinto College District","Texas","TRUE",""
"University of Kansas Medical Center","Kansas","TRUE",""
"University of Houston System","Texas","TRUE",""
"University of Mississippi Medical Center","Mississippi","TRUE",""
"University of the Pacific-Stockton","California","TRUE",""
"The Medical College of Wisconsin, Inc.","Wisconsin","TRUE",""
"Loyola University Maryland, Inc.","Maryland","TRUE",""
"Georgia Piedmont Technical College","Georgia","TRUE",""
"Iowa State University of Science and Technology","Iowa","TRUE",""
"Texas Tech University Health Sciences Center at El Paso","Texas","TRUE",""
"University of Alaska Fairbanks Campus","Alaska","TRUE",""
"Texas A&M University Health Science Center","Texas","TRUE",""
"University of Vermont & State Agricultural College","Vermont","TRUE",""
"West Hills Community College","California","TRUE",""
"University of Connecticut Sch of Med/Dnt","Connecticut","TRUE",""
"University of Pittsburgh - of the Commonwealth System of Higher Education","Pennsylvania","TRUE",""
"SUNY Empire State College","New York","TRUE",""
"Tufts University Medford","Massachusetts","TRUE",""
"University of Kansas Lawrence","Kansas","TRUE",""
"ALAMO COMMUNITY COLLEGE DISTRICT - St. Philip's College","Texas","TRUE",""
"China Medical University","","TRUE",""
"University of Colorado at Colorado Springs","Colorado","TRUE",""
"University of Denver (Colorado Seminary)","Colorado","TRUE",""
"New York University d/b/a NYU Long Island School of Medicine","New York","TRUE",""
"University of North Carolina at Wilmington","North Carolina","TRUE",""
"Beth Israel Deaconess Medical Center","Massachusetts","TRUE",""
"Manhattanville College","New York","TRUE",""
"Meharry Medical College","Tennessee","TRUE",""
"Columbus State Community College","Ohio","TRUE",""
"SUNY Onondaga Community College","New York","TRUE",""
"Southern Illinois University at Edwardsville","Illinois","TRUE",""
"Allan Hancock College","California","TRUE",""
"University of North Carolina Charlotte","North Carolina","TRUE",""
"Miami University","Ohio","TRUE",""
"Riverside Community College District/Riverside City College","California","TRUE",""
"Lehigh Carbon Community College","Pennsylvania","TRUE",""
"Rockefeller University","New York","TRUE",""
"Tufts Medical Center","Massachusetts","TRUE",""
"Weber State University","Utah","TRUE",""
"San Antonio College","Texas","TRUE",""
"University of Puerto Rico at Carolina","Puerto Rico","TRUE",""
"St Mary's University San Antonio","Texas","TRUE",""
"North Carolina Agricultural and Technical State University","North Carolina","TRUE",""
"Kutztown University","Pennsylvania","TRUE",""
"Georgia Southern University Research & Service Foundation Inc","Georgia","TRUE",""
"CUNY Queensborough Community College","New York","TRUE",""
"Oklahoma Medical Research Foundation","Oklahoma","TRUE",""
"University of Guam","Guam","TRUE",""
"Hartford Parent University Inc","Connecticut","TRUE",""
"Cuesta College","California","TRUE",""
"Massachusetts Bay Community College","Massachusetts","TRUE",""
"Kentucky Community & Technical College System","Kentucky","TRUE",""
"Lsu Health Sciences Center","Louisiana","TRUE",""
"University of Texas Dallas","Texas","TRUE",""
"SUNY College at Oneonta","New York","TRUE",""
"Morehouse School of Medicine","Georgia","TRUE",""
"The Research Foundation for the State University of New York","New York","TRUE",""
"Yakima Valley Community College","Washington","TRUE",""
"University of Puerto Rico at Humacao","Puerto Rico","TRUE",""
"Ivy Tech Community College of Indiana","Indiana","TRUE",""
"University of Alabama in Tuscaloosa","Alabama","TRUE",""
"David Lipscomb University","Tennessee","TRUE",""
"University of Arkansas Little Rock","Arkansas","TRUE",""
"Prairie View Agri & Mech University","Texas","TRUE",""
"Southern Illinois University","Illinois","TRUE",""
"Fashion Institute of Technology","New York","TRUE",""
"University of Oregon Eugene","Oregon","TRUE",""
"Montana State University - Bozeman","Montana","TRUE",""
"Charles R. Drew University of Med & Science","California","TRUE",""
"Boston Medical Center","Massachusetts","TRUE",""
"Board of Regents, NSHE, obo University of Nevada, Reno","Nevada","TRUE",""
"University of the Virgin Islands","Virgin Islands","TRUE",""
"Northwest Indian College","Washington","TRUE",""
"New York Medical College","New York","TRUE",""
"Ponce School of Medicine","Puerto Rico","TRUE",""
"University of Maryland Es","Maryland","TRUE",""
"Henry Ford Health + Michigan State University Health Sciences","Michigan","TRUE",""
"University of New Mexico Health Sciences Center","New Mexico","TRUE",""
"University of California at Davis","California","TRUE",""
"City College of San Francisco","California","TRUE",""
"Embry-Riddle Aeronautical University, Inc.","Florida","TRUE",""
"Columbia University Health Sciences","New York","TRUE",""
"Comprehensive Cancer Center/ University/Pr","Puerto Rico","TRUE",""
"New School University","New York","TRUE",""
"University of Arkansas at Fayetteville","Arkansas","TRUE",""
"University of Missouri System","Missouri","TRUE",""
"University of Pr Cayey University Coll","Puerto Rico","TRUE",""
"University of Puerto Rico Ponce","Puerto Rico","TRUE",""
"University of Puerto Rico Rio Piedras","Puerto Rico","TRUE",""
"University of Toledo Health Science Campus","Ohio","TRUE",""
"University of Vermont & St Agric College","Vermont","TRUE",""
"Oklahoma State University Stillwater","Oklahoma","TRUE",""
"Auburn University at Auburn","Alabama","TRUE",""
"Stellenbosch University","","TRUE",""
