"institution_name","unitid","control_label","enrollment_pct_change_5yr","revenue_pct_change_5yr","losses_last_3_of_5","ended_year_at_loss","loss_years_last_10","net_tuition_per_fte_change_5yr","tuition_dependence_pct","discount_pct_change_5yr","staff_total_headcount_pct_change_5yr","staff_instructional_headcount_pct_change_5yr","liquidity","leverage","pct_international_all","federal_grants_contracts_pell_adjusted_pct_core_revenue","state_funding_pct_core_revenue","endowment_value","endowment_pct_change_5yr","religious_affiliation"
"Trinity Christian College","149505","Private not-for-profit","-37.199725463280714","-6.461392343780497","Yes","No","6","-19.51440526952684","36.88774601064011","23.22893731278247","-16.05351170568562","-16.551724137931036","0.4855439624965202","0.309433382639607","0.07759562841530054","0.010137520102709739","0","11047055","-27.88670751522797","Interdenominational"
"Martin University","151810","Private not-for-profit","-27.669902912621357","35.864706340591454","No","No","2","-12.047724277772707","31.382353485525854","","7.894736842105263","28.57142857142857","0.42049497396421104","0.2480865741500252","0.013422818791946308","0","0","","","Not applicable"
"Northwestern College","154101","Private not-for-profit","33.564668769716086","30.072975186143257","No","No","3","-6.2472389410869935","42.36145462288871","-7.2866054724196365","14.285714285714285","18.58974358974359","0.48212405081128035","0.056893580112269845","0.03306565895134624","0.009896154998261651","0","76928958","10.649746715367773","Reformed Church in America"
"Sterling College","155937","Private not-for-profit","1","-29.23390237266929","Yes","Yes","6","-8.877476924253202","43.19530916715415","1.9800004922978367","-1.7857142857142856","4.10958904109589","0.10134549263794097","0.28590672744496204","0.07797029702970297","0.07725336085461622","0","13527024","-36.252177421143","Not applicable"
"Siena Heights University","172264","Private not-for-profit","-26.566164154103856","-26.00350753374061","Yes","Yes","3","-20.022405143046115","52.74749326499734","31.261394491847046","-20.14218009478673","-28.999999999999996","0.5479164230567111","0.21408317873977234","0.03239051094890511","0.05517575506982527","0","14838766","-18.845154968516866","Roman Catholic"
"St. Andrews University","199698","Private not-for-profit","3.553921568627451","-8.485678794327397","No","No","4","118.70516187093527","19.119706101004642","-15.832295458351242","-57.18849840255591","-11.267605633802818","-0.36914230587775715","1.0514678373326591","0.03905325443786982","0","0","6799893","-21.922237652336907","Presbyterian Church (USA)"
"King's College","213321","Private not-for-profit","-23.640095791994526","-24.32678665107929","No","No","2","-27.129073216364567","50.03113933092569","16.936668183104274","-17.28813559322034","-15.350877192982457","0.37290279316333935","0.26141795071603985","0.010304659498207885","0.014435290631315788","0","120608267","13.28174292626466","Roman Catholic"
"Pennsylvania State University-Penn State New Kensington","214625","Public","-31.225296442687743","","No","","0","","","","","","","","0.009578544061302681","","","","","Not applicable"
"Pennsylvania State University-Penn State Wilkes-Barre","214643","Public","-30.31423290203327","","No","","0","","","","","","","","0.007957559681697613","","","","","Not applicable"
"Pennsylvania State University-Penn State Fayette- Eberly","214759","Public","-34.21052631578947","","No","","0","","","","","","","","0","","","","","Not applicable"
"Pennsylvania State University-Penn State Mont Alto","214795","Public","-29.11255411255411","","No","","0","","","","","","","","0.016793893129770993","","","","","Not applicable"
"Pennsylvania State University-Penn State York","214829","Public","-26.203703703703702","","No","","0","","","","","","","","0.0451693851944793","","","","","Not applicable"
"Limestone University","218238","Private not-for-profit","-22.044960116026104","-19.138100623916408","Yes","Yes","3","-21.68490245970888","52.87099520515321","29.602268965973888","44.44444444444444","83.87096774193549","0.06982643096051931","0.5932744433795323","0.0641860465116279","0.16213339032394114","0","9158633","-69.89781730671989","Not applicable"
"Northland College","239512","Private not-for-profit","-18.638573743922205","-3.8976053804788786","Yes","Yes","7","-23.57967493912336","32.75031990489069","20.05434060699603","-2.4390243902439024","9.090909090909092","-0.02152365569243878","0.15782638087759443","0.05976095617529881","0.03507523669693633","0","6415604","-27.28752049817238","Not applicable"
